Unique Identifier,Deal Number,Decision,Decision Date,Effective Date,Expiration Date,Brokered,Country,Program,Policy Type,Decision Authority,Product Description,Term,Primary Applicant,Primary Lender,Primary Exporter,Primary Supplier,Primary Borrower,Primary Buyer,Primary Source of Repayment,Working Capital Delegaed Authority,Approved/Declined Amount,Disbursed/Shipped Amount,Undisbursed Exposure Amount,Outstanding Exposure Amount,Loan Interest Rate,First Claim Payment Date,Claim Paid Amount,Small Business Authorized Amount,Woman Owned Authorized Amount,Minority Owned Authorized Amount,Fiscal Year
07083137XX0005,AP083137XX,Approved,02/12/2010,,07/15/2013,N,Ghana,Loan,,Board,Service Industry Machinery - NEC,Long Term,Ghana Water Company,Ex-Im Bank,"Uem, Inc.",Various - United States Suppliers,Ministry Of Finance & Economic Planning,Ghana Water Company,Ministry Of Finance & Economic Planning,No,$620071.00,$620071.00,$0.00,$620071.00,4.55%,,,$151526.75,$0.00,$0.00,2010
07083824XX0001,AP083824XX,Approved,03/04/2010,,07/15/2013,N,Dominican Republic,Loan,,Board,Mining Machinery And Equipment Manufacturing,Long Term,Pueblo Viejo Dominicana Corporation,Ex-Im Bank,Caterpillar Inc.,Caterpillar Inc.,Pueblo Viejo Dominicana Corporation,Pueblo Viejo Dominicana Corporation,Pueblo Viejo Dominicana Corporation,No,$245347314.00,$193309509.70,$94531244.31,$193309509.70,4.02%,,,$59172865.19,$0.00,$2941714.29,2010
07083824XX0002,AP083824XX,Approved,03/04/2010,,07/15/2013,N,Dominican Republic,Loan,,Board,Mining Machinery And Equipment Manufacturing,Long Term,Pueblo Viejo Dominicana Corporation,Ex-Im Bank,Caterpillar Inc.,Caterpillar Inc.,Pueblo Viejo Dominicana Corporation,Pueblo Viejo Dominicana Corporation,Pueblo Viejo Dominicana Corporation,No,$87159246.00,$87159246.00,$0.00,$87159246.00,4.02%,,,$21021066.95,$0.00,$1045039.36,2010
07083824XX0003,AP083824XX,Approved,03/04/2010,,07/15/2013,N,Dominican Republic,Loan,,Board,Mining Machinery And Equipment Manufacturing,Long Term,Pueblo Viejo Dominicana Corporation,Ex-Im Bank,Caterpillar Inc.,Caterpillar Inc.,Pueblo Viejo Dominicana Corporation,Pueblo Viejo Dominicana Corporation,Pueblo Viejo Dominicana Corporation,No,$42493440.00,$0.00,$0.00,$0.00,4.02%,,,$10248567.86,$0.00,$509496.34,2010
07083927XX0001,AP083927XX,Approved,03/09/2010,,10/27/2011,N,Australia,Loan,,Board,Large Commercial Jet Aircraft,Long Term,Virgin Blue Intl Airlines Pty Limited,Ex-Im Bank,"Boeing Company, The","Boeing Company, The",Virgin Blue Intl Airlines Pty Limited,Virgin Blue Intl Airlines Pty Limited,Virgin Blue Airlines Pty Limited,No,$0.00,$126424604.50,$0.00,$108967277.00,0.704%,,,$0.00,$0.00,$0.00,2010
07083987XX0001,AP083987XX,Approved,08/11/2010,,08/25/2012,N,Honduras,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,Energia Eolica De Honduras S.A.,Ex-Im Bank,Gamesa Wind Us Llc,Gamesa Wind Us Llc,Energia Eolica De Honduras S.A.,Energia Eolica De Honduras S.A.,Energia Eolica De Honduras S.A.,No,$108360500.00,$105294948.20,$0.00,$102294042.20,7%,11/01/2010,$0.00,$521214.00,$0.00,$0.00,2010
07083987XX0002,AP083987XX,Approved,08/11/2010,,08/25/2012,N,Honduras,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,Energia Eolica De Honduras S.A.,Ex-Im Bank,Gamesa Wind Us Llc,Gamesa Wind Us Llc,Energia Eolica De Honduras S.A.,Energia Eolica De Honduras S.A.,Energia Eolica De Honduras S.A.,No,$44668590.00,$44098509.97,$0.00,$42841702.44,7%,,,$214855.91,$0.00,$0.00,2010
07083987XX0003,AP083987XX,Approved,08/11/2010,,08/25/2012,N,Honduras,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,Energia Eolica De Honduras S.A.,Ex-Im Bank,Gamesa Wind Us Llc,Gamesa Wind Us Llc,Energia Eolica De Honduras S.A.,Energia Eolica De Honduras S.A.,Energia Eolica De Honduras S.A.,No,$5528379.00,$5474177.00,$0.00,$5318162.96,7%,,,$26591.50,$0.00,$0.00,2010
07084018XX0001,AP084018XX,Approved,07/29/2010,,05/27/2013,N,Brazil,Loan,,Board,Radio and Television Broadcasting and Communicatio,Long Term,Star One S/A,Ex-Im Bank,Orbital Sciences Corporation,Orbital Sciences Corporation,Star One S/A,Star One S/A,Star One S/A,No,$0.00,$0.00,$0.00,$0.00,4.28%,,,$0.00,$0.00,$0.00,2010
07084039XX0003,AP084039XX,Approved,10/14/2009,,02/28/2010,N,Canada,Loan,,Board,Helicopters,Long Term,Heli-One Leasing Inc,Ex-Im Bank,Sikorsky Aircraft Corporation,Keystone Helicopter Corp,Spv/Heli-One Leasing Inc,"Spv/Heli-One Canada Inc.,",Chc Helicopter Sarl,No,$256987.00,$221479.00,$0.00,$155179.26,3.48%,,,$0.00,$0.00,$0.00,2010
07084044XX0001,AP084044XX,Approved,07/13/2010,,05/30/2011,N,United Arab Emirates,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,Emirates Aluminum Company Limited Pjsc,Ex-Im Bank,General Electric Company,General Electric Company,Emirates Aluminum Company Limited Pjsc,Emirates Aluminum Company Limited Pjsc,Dubai Aluminum Co,No,$220976049.00,$220976049.00,$0.00,$214346182.30,3.5%,,,$548020.60,$0.00,$0.00,2010
07084044XX0002,AP084044XX,Approved,07/13/2010,,05/30/2011,N,United Arab Emirates,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,Emirates Aluminum Company Limited Pjsc,Ex-Im Bank,General Electric Company,General Electric Company,Emirates Aluminum Company Limited Pjsc,Emirates Aluminum Company Limited Pjsc,Dubai Aluminum Co,No,$82846160.00,$82846160.00,$0.00,$80360555.79,3.5%,,,$205458.47,$0.00,$0.00,2010
07084044XX0003,AP084044XX,Approved,07/13/2010,,05/30/2011,N,United Arab Emirates,Loan,,Board,Steam - Gas - and Hydraulic Turbines - and Turbine Ge,Long Term,Emirates Aluminum Company Limited Pjsc,Ex-Im Bank,General Electric Company,General Electric Company,Emirates Aluminum Company Limited Pjsc,Emirates Aluminum Company Limited Pjsc,Dubai Aluminum Co,No,$13064683.00,$2055591.09,$0.00,$1993917.92,3.5%,,,$32400.41,$0.00,$0.00,2010
07084099XX0001,AP084099XX,Approved,12/03/2009,,06/05/2016,N,Papua New Guinea,Loan,,Board,Facilities Support Management Services,Long Term,Societe Generale Asia Limited,Ex-Im Bank,Exxonmobil Development Co,Exxonmobil Development Co,Papua New Guinea Lng Global Company Ldc,Esso Highlands Limited-Png Lng Project,Papua New Guinea Lng Global Company Ldc,No,$1349400401.00,$788592430.00,$626563393.00,$788592430.00,3.92%,,,$14546536.32,$0.00,$0.00,2010
07084099XX0002,AP084099XX,Approved,12/03/2009,,06/05/2016,N,Papua New Guinea,Loan,,Board,Facilities Support Management Services,Long Term,Societe Generale Asia Limited,Ex-Im Bank,Exxonmobil Development Co,Exxonmobil Development Co,Papua New Guinea Lng Global Company Ldc,Esso Highlands Limited-Png Lng Project,Papua New Guinea Lng Global Company Ldc,No,$476258965.00,$474667064.00,$26503146.00,$474667064.00,3.92%,,,$5134071.64,$0.00,$0.00,2010
